feature,max,min
59,0.3166911005973816,-0.2502848505973816
60,0.2569310665130615,-0.5705927610397339
61,0.4483570158481598,-0.36740267276763916
62,0.2648516297340393,-0.3212045431137085
63,0.34909653663635254,-0.23030103743076324
64,0.6356016397476196,-0.33444005250930786
65,0.37720534205436707,-0.40985411405563354
66,0.22038225829601288,-0.28311780095100403
67,0.4680408537387848,-0.5429824590682983
68,0.28514230251312256,-0.17882469296455383
69,0.601333737373352,-0.5924749970436096
70,0.5574511289596558,-0.44600871205329895
71,0.5983660221099854,-0.4005858898162842
72,0.29612627625465393,-0.3905298411846161
73,0.2003074586391449,-0.32076960802078247
74,0.6379412412643433,-0.642727255821228
75,1.2246756553649902,-0.9588782787322998
76,0.4366137385368347,-0.3261699676513672
77,0.3438396453857422,-0.3439527153968811
78,0.39541012048721313,-0.6552904844284058
79,0.42851778864860535,-0.38770315051078796
80,0.31325623393058777,-0.31150758266448975
81,0.2855989634990692,-0.27562230825424194
82,0.3083086907863617,-0.4039692282676697
83,0.34352046251296997,-0.42227184772491455
84,0.2661052346229553,-0.3643338680267334
85,0.2663027048110962,-0.3765137195587158
86,0.3479638695716858,-0.3896675705909729
87,0.399229496717453,-0.34823426604270935
88,0.5290927886962891,-0.49499422311782837
89,0.21417996287345886,-0.24878621101379395
90,0.2387796938419342,-0.47221118211746216
91,0.4147830605506897,-0.40764281153678894
92,0.7258453369140625,-0.48670274019241333
93,0.2443714439868927,-0.28226956725120544
94,0.4264430105686188,-0.25466564297676086
95,0.30046162009239197,-0.38460999727249146
96,0.1374739557504654,-0.205873042345047
97,0.3063533902168274,-0.3058253526687622
98,1.9190199375152588,-1.8430544137954712
99,0.7300496101379395,-0.34183406829833984
100,0.4946824908256531,-0.38275057077407837
101,0.3496607840061188,-0.31209227442741394
102,0.37154150009155273,-0.22111208736896515
103,2.0606627464294434,-2.380073070526123
104,0.4987338185310364,-0.30487021803855896
105,0.4483538568019867,-0.37105774879455566
106,0.4405890107154846,-0.4222147464752197
107,0.2601916193962097,-0.29243242740631104
108,0.29580825567245483,-0.21992188692092896
109,0.34212350845336914,-0.46733975410461426
110,0.40425390005111694,-0.2857302129268646
111,0.3368765413761139,-0.443142294883728
112,0.5384074449539185,-0.7032904624938965
113,0.3254353404045105,-0.4942183494567871
114,2.1398682594299316,-2.991377353668213
115,0.3296188712120056,-0.42474690079689026
116,0.3317522704601288,-0.40783894062042236
117,0.2524060904979706,-0.4208680987358093
118,0.4158410429954529,-0.3424171805381775
119,2.9604079723358154,-2.396360397338867
120,0.22058282792568207,-0.33223363757133484
121,0.14300011098384857,-0.15398862957954407
122,0.4251837134361267,-0.31883758306503296
123,0.3872874975204468,-0.5594971776008606
124,0.24145835638046265,-0.6086225509643555
125,0.22502928972244263,-0.33056849241256714
126,0.36034712195396423,-0.42946600914001465
127,0.2288929671049118,-0.23421916365623474
128,0.14559321105480194,-0.20976999402046204
129,0.26082128286361694,-0.33445268869400024
130,0.5091103911399841,-0.32690492272377014
131,0.3223533630371094,-0.5475891828536987
132,0.5425428748130798,-0.4315386414527893
133,0.31377291679382324,-0.3805234432220459
134,0.25483301281929016,-0.3441043794155121
135,1.888929843902588,-1.8763175010681152
136,0.329557865858078,-0.2377697080373764
137,0.2850629389286041,-0.36976441740989685
138,0.39407020807266235,-0.5509465336799622
139,0.29853060841560364,-0.2651352286338806
140,0.4195266366004944,-0.441515177488327
141,0.3610363304615021,-0.2691625654697418
142,0.3060039281845093,-0.4548964202404022
143,1.4672389030456543,-2.453571319580078
