Entry,Smile
61,CCCCC(CC(=O)NC1(CCN(Cc2ccccc2)C1)C(=O)O)NC(=O)OCC3c4ccccc4c5ccccc35
62,CCCOc1ccc(cc1OC)C2C(C(=O)c3ccc(OC)cc3)C(=O)C(=O)N2c4nc5ccc(C)cc5s4
63,CN(Cc1ccccc1)C(=O)CC2(COc3ccc(Cl)cc3)CCCN(C2)C(=O)c4c(F)cccc4F
64,CCOC(=O)C1=C(C)N=C2S\C(=C/c3oc(cc3)c4ccc(Cl)c(Cl)c4)\C(=O)N2C1c5ccc(OC)c(OC)c5
65,Cc1ccc(cc1)C2C3C(=O)CC(C=C3Nc4ccccc4N2C(=O)c5ccccc5)c6ccccc6F
66,COC(=O)c1sc(SC)c(c1C)c2ccn(n2)C(=O)c3cc(cc(c3)C(F)(F)F)C(F)(F)F
67,CCCCCCCCCCCCCCCCOC[C@H](COP(=O)(O)OCC[N](C)(C)C)OC(=O)C
68,COc1cc(\C=N\NC(=O)c2nnn(c2CN3CCOCC3)c4nonc4N)cc(Br)c1O
69,Cc1nnnn1c2ccc(CC(=O)N3CCCOc4cccc(CCC5CCCCN5C(=O)C3)c4)cc2
70,CCCCCCCCCCCCCCCC(=O)NC(NC(=S)Nc1ccccc1C)C(Cl)(Cl)Cl
71,COc1cc(\C=N\NC(=O)COc2ccc(Cl)cc2Br)ccc1OC(=O)c3ccccc3Cl
72,CN(Cc1ccccc1)C(=O)C[C@H]2CN(CC[C@@H]2Oc3cccc(Cl)c3)C(=O)CCN4CCCC4=O
73,CCOC(=O)C1=C(N=C2SC(=Cc3oc(cc3)c4ccc(cc4C)[N+](=O)[O-])C(=O)N2C1c5cc(C(C)C)c(OC)cc5C)c6ccccc6
74,Clc1ccc(COc2ccccc2C(=O)NS(=O)(=O)CCC3CCCCN3C(=O)OCc4ccccc4)cc1
75,CCOc1ccc2[nH]c(C(=O)NC[C@H]3OC[C@H](C4OC(C)(C)O[C@H]34)N5C=C(C)C(=O)NC5=O)c(C)c2c1
76,CCOC(=O)c1c(Cc2ccc(Cl)c(Cl)c2)c(\C=N\NC(=O)NCc3occc3)[nH]c1c4ccccc4
77,CC(C)[C@H]1NC(=O)[C@H](Cc2ccccc2)Nc3cc(CCNC(=O)[C@H](C)NC1=O)nc(NCc4ccccn4)n3
78,CCOc1ccc(cc1)c2cc3NC(=C4CCN(CC4)C(=O)OC(C)(C)C)C(=Cn3n2)C(=O)Nc5c(Cl)cc(OC)cc5OC
79,Cc1nn(c2ccccc2)c3nc(Cc4ccccc4)nc(N5CCN(CC5)S(=O)(=O)c6ccc(Br)cc6)c13
80,CCOC(=O)C1=C(C)N=C2S\C(=C/c3cc(Br)cc(I)c3O)\C(=O)N2C1c4ccc(cc4)N(C)C
81,CC(C)c1ccc(cc1)S(=O)(=O)N2CCC(CC2)c3c(C)n(Cc4ccc(Cl)cc4)c5ccccc35
82,Fc1cccc(NC(=O)CN2C(=O)N(CC3CCC(CC3)C(=O)NCc4ccccc4)C(=O)c5sccc25)c1
83,CC(C)(C)c1ccc(cc1)S(=O)(=O)c2cnc(SCC(=O)Nc3ccccc3C(F)(F)F)nc2O
84,COc1cc(\C=C(\C#N)/c2ccc(F)cc2)cc(I)c1OCC(=O)Nc3ccccc3
85,CCC(C)(C)c1ccc(OCCCC(=O)Nc2ccc(Cl)c(NC(=O)CC(=O)c3ccccc3OC)c2)c(c1)C(C)(C)CC
86,CCCCN(CCCC)CCNC(=O)C1CCN(CC1)c2nnc(s2)n3cccc3CNc4ccc(OCC)cc4
87,[O-][N+](=O)c1cc(C=NNC(=O)CSc2nnc(c3ccc(Cl)cc3)n2C4CCCCC4)ccc1Cl
88,COc1ccc(cc1OC)c2cnc3ncnn3c2N4CCN(CC4)S(=O)(=O)c5c(C)c(C)c(C)c(C)c5C
89,COc1cc(C)ccc1OCCNC(=O)[C@@H]2CCC(=O)N[C@H](Cc3ccccc3)C(=O)N(C)CCOc4ccccc4C(=O)N2
90,Clc1ccccc1NS(=O)(=O)c2ccc(N3CCCC3)c(NC(=S)NC4CC5CCC4C5)c2
91,CN1C(=O)N(C)c2nc(N3CCN(CC3)C(c4ccccc4)c5ccccc5)n(Cc6cccc(C)c6)c2C1=O
92,Cc1ccc(nc1)C2CN(CCO2)C(=O)CN3CCC4(CCCCc5ccccc5OCCCNC4=O)CC3
93,Oc1ccc(Br)cc1C2Nc3ccc(I)cc3C(=O)N2NC(=O)c4ccc(Cl)cc4
94,CCn1nc(CC(C)C)cc1C(=O)N2C[C@@H]3C[C@H]2C(=O)NCCCCN(CCCNC(=O)c4ccc(OC)c(O3)c4)C(=O)CN5CCOC5=O
95,CCCCOc1ccc(cc1OC)C2N3C(=O)\C(=C/c4ccccc4OCC)\SC3=NC(=C2C(=O)OCC)C
96,COc1cc(\C=N\NC(=O)Cc2cccc3ccccc23)ccc1OC(=O)c4sc5ccccc5c4Cl
97,CCOC(=O)c1cc(c2ccc(cc2)N3CCN(CC3)C(=O)c4ccc(OC)c(OC)c4)n(n1)c5ccc(OC)cc5
98,CC(C)(S)CCC(=O)Nc1ccc2[nH]c(cc2c1)C(=O)Nc3ccc4[nH]c(cc4c3)C(=O)N5C[C@@H](CCl)c6c5cc(O)c7ccccc67
99,COc1ccc(cc1OC)C(NC(=O)c2cc(OC)c(OC)c(OC)c2)c3cc(c4cccnc4c3O)[N+](=O)[O-]
